Is Captain(1=yes),Is Wktkeeper(1=Yes),Team,Name,Nationality,Player Value USD,Matches,Innings played,Not out,Runs scored,Highest score,Is batsman,Batting avg,Balls faced,Strike rate,100 runs made,50 runs made,4s,6s,Catches per match,Catches taken,Matches played,Innings played,Is bowler?,Number of balls bowled,Runs given,Wkts taken,Bowling econ,5 Wicket hauls
0,0,Sydney Thunder,Aiden Blizzard,Australia,20000,40,40,3,817,89,1,22.08,542,150.73,0,2,115,27,0.375,15,40,1,0,6,10,0,10,0
0,0,Adelaide Strikers,Jonathan Vandiar,South Africa,20000,18,18,1,356,71,1,20.94,298,119.46,0,3,29,14,0.111111111,2,18,-,0,-,-,-,-,-
1,0,Perth Scorchers,Nathan Rimmington,Australia,20000,23,8,5,33,24*,0,11,25,132,0,0,3,1,0.304347826,7,23,22,1,466,563,31,7.24,1
0,0,Hobart Hurricanes,Rilee Rossouw,South Africa,20000,20,20,0,343,65,1,17.15,307,111.72,0,1,32,11,0.4,8,20,-,0,-,-,-,-,-
0,0,Sydney Thunder,Robert Frylinck,South Africa,20000,25,22,8,213,32*,0,15.21,129,165.11,0,0,17,14,0.36,9,25,23,1,498,623,26,7.5,0
1,0,Brisbane Heat,Travis Birt,Australia,20000,45,43,3,820,58,1,20.5,626,130.99,0,2,69,33,0.4,18,45,-,0,-,-,-,-,-
0,0,Melbourne Renegades,George Bailey,Australia,50000,32,28,4,714,60,1,29.75,521,137.04,0,5,59,26,0.28125,9,32,1,0,12,24,0,12,0
0,0,Sydney Sixers,Johan van der Wath,South Africa,50000,78,57,18,672,48*,1,17.23,510,131.76,0,0,40,37,0.08974359,7,78,74,1,1555,1984,78,7.65,0
0,0,Hobart Hurricanes,Luke Pomersbasch,Australia,50000,35,33,5,623,79*,1,22.25,480,129.79,0,2,51,30,0.457142857,16,35,-,0,-,-,-,-,-
0,0,Sydney Thunder,Moises Henriques,Australia,50000,40,35,5,549,51*,1,18.3,457,120.13,0,1,46,10,0.575,23,40,36,1,645,914,31,8.5,0
0,0,Melbourne Renegades,Roelof van der Merwe,South Africa,50000,59,41,11,721,89*,1,24.03,538,134.01,0,5,58,38,0.440677966,26,59,59,1,1200,1441,65,7.2,0
0,0,Brisbane Heat,Michael Klinger,Australia,75000,30,29,4,690,78,1,27.6,549,125.68,0,4,64,20,0.3,9,30,-,0,-,-,-,-,-
0,0,Hobart Hurricanes,Andrew McDonald,Australia,80000,62,55,21,1267,96*,1,37.26,1004,126.19,0,8,96,27,0.403225806,25,62,57,1,1076,1388,62,7.73,1
0,0,Perth Scorchers,Michael Lumb,England,80000,103,103,6,2161,124*,1,22.27,1511,143.01,1,12,285,71,0.32038835,33,103,3,0,36,65,3,10.83,0
0,0,Adelaide Strikers,Suraj Randiv,Sri Lanka,80000,29,8,1,43,20,0,6.14,34,126.47,0,0,2,2,0.344827586,10,29,27,1,538,644,27,7.18,1
0,0,Sydney Thunder,Thisara Perera,Sri Lanka,80000,40,30,10,209,24,0,10.45,176,118.75,0,0,16,10,0.35,14,40,39,1,689,843,38,7.34,0
0,0,Adelaide Strikers,Rusty Theron,South Africa,85000,50,18,9,71,24*,0,7.88,70,101.42,0,0,4,1,0.34,17,50,50,1,1098,1280,58,6.99,0
1,0,Sydney Thunder,Alfonso Thomas,South Africa,100000,104,33,19,173,30*,0,12.35,158,109.49,0,0,19,2,0.298076923,31,104,98,1,2049,2481,125,7.26,2
0,0,Brisbane Heat,Ben Hilfenhaus,Australia,100000,21,9,4,28,7*,0,5.6,43,65.11,0,0,0,1,0.095238095,2,21,21,1,439,519,25,7.09,0
0,0,Perth Scorchers,Colin Ingram,South Africa,100000,32,31,4,686,84,1,25.4,570,120.35,0,4,59,26,0.25,8,32,-,0,-,-,-,-,-
0,0,Brisbane Heat,Dimitri Mascarenhas,England,100000,81,71,20,1045,57*,1,20.49,829,126.05,0,3,70,38,0.271604938,22,81,79,1,1609,1883,101,7.02,1
0,0,Sydney Thunder,James Franklin,New Zealand,100000,72,64,17,1531,90,1,32.57,1187,128.98,0,6,109,55,0.277777778,20,72,61,1,1074,1473,40,8.22,0
0,0,Adelaide Strikers,Jerome Taylor,West Indies,100000,35,15,7,70,16*,0,8.75,53,132.07,0,0,4,3,0.2,7,35,35,1,751,941,49,7.51,1
